,place,review,date
0,Детский сад № 35 Ладушки,"Это наш 2-ой сад, перешли по необходимости! Я и дочь счастливы) сейчас она уже в школе, но до сих пор просится зайти к любимым воспитателям и вспоминает с тёплом! ( хотя мой ребёнок не очень контактный)
Весь персонал- отличные, отзывчивые, заботливые, улыбчивые ЛЮДИ! 
Воспитатели всегда в прекрасном настроении, детям с ними весело, они чувствуют искреннее, доброе отношение к себе!!!
Директор- замечательная, здесь нет сомнений!!!
Муз работник, отдельное спасибо, дети ждали с нетерпением занятие по вокалу, подготовка к праздникам на высшем уровне😌😉",26 ноября
1,Детский сад № 35 Ладушки,Очень хороший садик...,4 ноября
2,Детский сад № 35 Ладушки,"В саду были временно,в связи с ремонтом основного детского сада.
Нареканий нет, питание хорошее,соблюдается режим, прогулки на свежем воздухе два раза в день.",18 октября
3,Детский сад № 35 Ладушки,Средний садик.,10 июня
4,Детский сад № 35 Ладушки,"Прекрасный садик. Добрые воспитатели, есть все специалисты. Кормят вкусно, сынок всегда доволен.",2 марта
5,Детский сад № 35 Ладушки,Добрые воспитатели и хорошее питание,3 февраля
6,Детский сад № 35 Ладушки,Хорошо сад! 🥰,13 января
7,Детский сад № 35 Ладушки,"Последний раз был 45 лет назад, очень хороший дет сад был в то время)))",7 ноября 2022
